stop_id,stop_code,stop_name,stop_lat,stop_lon,ars_id,stop_uid,stop_type,in_dongdaemun
06268,06268,장평중학교,37.5657454,127.0709395,06268,105000182,일반차로,1
06269,06269,회기역종점,37.5899004,127.0588619,06269,105000183,일반차로,1
06270,06270,경희대입구,37.5912717,127.0530132,06270,105000184,일반차로,1
06271,06271,경희대입구,37.5915831,127.0527127,06271,105000185,일반차로,1
06272,06272,서울바이오허브,37.5913878,127.0501401,06272,105000186,일반차로,1
06273,06273,서울바이오허브,37.5916089,127.0492769,06273,105000187,일반차로,1
06274,06274,한국과학기술원.홍릉초등학교,37.591769,127.045747,06274,105000188,일반차로,1
06275,06275,한국과학기술원.홍릉초등학교,37.5915446,127.0469641,06275,105000189,일반차로,1
06276,06276,국방연구원,37.5914093,127.0411809,06276,105000190,일반차로,1
06277,06277,국방연구원,37.591104,127.0400584,06277,105000191,일반차로,1
06278,06278,세종대왕기념관,37.5898534,127.0423802,06278,105000192,일반차로,1
06279,06279,세종대왕기념관,37.5904615,127.0425674,06279,105000193,일반차로,1
06280,06280,영휘원사거리.(구)홍릉사거리,37.5860009,127.0431752,06280,105000194,일반차로,1
06281,06281,영휘원사거리.(구)홍릉사거리,37.5860143,127.0434662,06281,105000195,일반차로,1
06282,06282,동대문경찰서,37.5841404,127.0437843,06282,105000196,일반차로,1
06283,06283,동대문경찰서,37.5835586,127.0442607,06283,105000197,일반차로,1
06284,06284,현대코아,37.581812,127.0448734,06284,105000198,일반차로,1
06285,06285,현대코아,37.5814859,127.0446558,06285,105000199,일반차로,1
06286,06286,동대문중앙새마을금고,37.5831179,127.0412132,06286,105000200,일반차로,1
06287,06287,동대문중앙새마을금고,37.5829869,127.0422207,06287,105000201,일반차로,1
06288,06288,제기동주민센터앞,37.5829769,127.0378676,06288,105000551,일반차로,1
06289,06289,제기동한신아파트,37.5866382,127.037361,06289,105000203,일반차로,1
06290,06290,제기시장,37.586386,127.03522,06290,105000204,일반차로,1
06291,06291,제기시장,37.5866249,127.034671,06291,105000205,일반차로,1
06293,06293,외대역앞,37.5960096,127.0609471,06293,105000207,일반차로,1
06294,06294,외대역앞,37.5960661,127.0613605,06294,105000208,일반차로,1
06296,06296,SK뷰아파트,37.594405,127.065172,06296,105000569,일반차로,1
06297,06297,청랑리한신아파트.청량사입구,37.5867421,127.047414,06297,105000211,일반차로,1
06298,06298,전동초등학교.전농동SK아파트,37.5777508,127.0609446,06298,105000212,일반차로,1
06299,06299,벽산아파트,37.5827563,127.0305142,06299,105000213,일반차로,1
06300,06300,제기동천주교회,37.5828568,127.033571,06300,105000214,일반차로,1
06301,06301,이문동쌍용아파트,37.598878,127.0688554,06301,105000215,일반차로,1
06302,06302,이문동쌍용아파트,37.5988317,127.0691211,06302,105000216,일반차로,1
06304,06304,전동초등학교.전농동SK아파트,37.5781199,127.0614944,06304,105000218,일반차로,1
06308,06308,한국산업인력공단서울지역본부,37.5837445,127.0729707,06308,105000222,일반차로,1
06309,06309,서울반도체고교.휘경주공아파트,37.5841657,127.0692519,06309,105000223,일반차로,1
06310,06310,e편한세상청계센트럴포레아파트,37.5708159,127.0302942,06310,105000559,일반차로,1
06313,06313,래미안장안1차아파트앞,37.5668317,127.0720205,06313,105000226,일반차로,1
06314,06314,장평중학교앞,37.5649582,127.0702528,06314,105000227,일반차로,1
06315,06315,청량리미주상가앞,37.581958,127.0472557,06315,105000228,가로변전일,1
06318,06318,종로사약국,37.5945214,127.0653058,06318,105000231,일반차로,1
06320,06320,회기동현대아파트,37.5891109,127.0544609,06320,105000233,일반차로,1
06321,06321,우산빌딩앞,37.5888823,127.0546771,06321,105000234,일반차로,1
06322,06322,배봉산입구,37.5803416,127.068204,06322,105000235,일반차로,1
06330,06330,동부아파트,37.5866889,127.0452316,06330,105000243,일반차로,1
06335,06335,자동차부품상가,37.5645947,127.0577757,06335,105000248,일반차로,1
06349,06349,청랑리한신아파트.청량사입구,37.5865145,127.0476686,06349,105000262,일반차로,1
06356,06356,장안동삼성쉐르빌아파트앞,37.5723085,127.070211,06356,105000550,일반차로,1
06357,06357,동대문노인종합복지관,37.5859461,127.0497131,06357,105000269,일반차로,1
