route_id,service_id,trip_id,direction_id
100100031,SER_20260912,100100031_108018555_94_d0,0
100100031,SER_20260912,100100031_108018555_94_d1,1
100100031,SER_20260912,100100031_108018560_164_d0,0
100100031,SER_20260912,100100031_108018560_164_d1,1
100100031,SER_20260912,100100031_108018560_245_d0,0
100100031,SER_20260912,100100031_108018622_102_d0,0
100100031,SER_20260912,100100031_108018622_102_d1,1
100100047,SER_20260912,100100047_106001032_145_d0,0
100100047,SER_20260912,100100047_106001032_145_d1,1
100100047,SER_20260912,100100047_106001032_234_d0,0
100100047,SER_20260912,100100047_106001032_234_d1,1
100100047,SER_20260912,100100047_106001033_175_d0,0
100100047,SER_20260912,100100047_106001033_175_d1,1
100100047,SER_20260912,100100047_106001033_28_d1,1
100100047,SER_20260912,100100047_106001036_6_d0,0
100100047,SER_20260912,100100047_106001036_6_d1,1
100100047,SER_20260912,100100047_106001037_3_d0,0
100100047,SER_20260912,100100047_106001037_3_d1,1
100100047,SER_20260912,100100047_106001042_5_d0,0
100100047,SER_20260912,100100047_106001042_5_d1,1
100100047,SER_20260912,100100047_106001043_11_d0,0
100100047,SER_20260912,100100047_106001043_11_d1,1
100100047,SER_20260912,100100047_106001044_18_d0,0
100100047,SER_20260912,100100047_106001044_18_d1,1
100100047,SER_20260912,100100047_106001045_10_d0,0
100100047,SER_20260912,100100047_106001045_10_d1,1
100100047,SER_20260912,100100047_106001048_9_d0,0
100100047,SER_20260912,100100047_106001048_9_d1,1
100100047,SER_20260912,100100047_106001050_144_d0,0
100100047,SER_20260912,100100047_106001050_144_d1,1
100100047,SER_20260912,100100047_106001050_233_d0,0
100100047,SER_20260912,100100047_106001050_233_d1,1
100100047,SER_20260912,100100047_106001052_13_d0,0
100100047,SER_20260912,100100047_106001052_13_d1,1
100100047,SER_20260912,100100047_106001053_16_d1,1
100100047,SER_20260912,100100047_106001053_193_d0,0
100100047,SER_20260912,100100047_106001053_193_d1,1
100100047,SER_20260912,100100047_106001069_15_d0,0
100100047,SER_20260912,100100047_106001069_15_d1,1
100100047,SER_20260912,100100047_106001106_14_d0,0
100100047,SER_20260912,100100047_106001106_14_d1,1
100100047,SER_20260912,100100047_106001161_141_d0,0
100100047,SER_20260912,100100047_106001161_141_d1,1
100100047,SER_20260912,100100047_106001161_255_d0,0
100100047,SER_20260912,100100047_106001173_142_d0,0
100100047,SER_20260912,100100047_106001173_142_d1,1
100100047,SER_20260912,100100047_106001173_246_d0,0
100100047,SER_20260912,100100047_106001183_148_d1,1
100100047,SER_20260912,100100047_106001183_194_d0,0
100100047,SER_20260912,100100047_106001183_194_d1,1
100100047,SER_20260912,100100047_106001186_8_d0,0
100100047,SER_20260912,100100047_106001186_8_d1,1
100100047,SER_20260912,100100047_106001200_4_d0,0
100100047,SER_20260912,100100047_106001200_4_d1,1
100100047,SER_20260912,100100047_106001244_25_d0,0
100100047,SER_20260912,100100047_106001244_25_d1,1
100100047,SER_20260912,100100047_106001285_24_d0,0
100100047,SER_20260912,100100047_106001285_24_d1,1
100100047,SER_20260912,100100047_106001288_7_d0,0
100100047,SER_20260912,100100047_106001288_7_d1,1
100100047,SER_20260912,100100047_106001381_22_d0,0
100100047,SER_20260912,100100047_106001381_22_d1,1
100100047,SER_20260912,100100047_106001416_2_d0,0
100100047,SER_20260912,100100047_106001416_2_d1,1
100100047,SER_20260912,100100047_106001418_140_d0,0
100100047,SER_20260912,100100047_106001418_140_d1,1
100100047,SER_20260912,100100047_106001418_29_d1,1
100100047,SER_20260912,100100047_106001420_186_d0,0
100100047,SER_20260912,100100047_106001420_186_d1,1
100100047,SER_20260912,100100047_106001420_23_d1,1
100100047,SER_20260912,100100047_106001421_27_d0,0
100100047,SER_20260912,100100047_106001421_27_d1,1
100100047,SER_20260912,100100047_106001480_17_d0,0
100100047,SER_20260912,100100047_106001480_17_d1,1
100100047,SER_20260912,100100047_106001481_147_d0,0
100100047,SER_20260912,100100047_106001481_147_d1,1
100100047,SER_20260912,100100047_106001482_12_d0,0
100100047,SER_20260912,100100047_106001482_12_d1,1
100100047,SER_20260912,100100047_106001539_146_d0,0
100100047,SER_20260912,100100047_106001539_146_d1,1
100100047,SER_20260912,100100047_106001539_208_d0,0
100100047,SER_20260912,100100047_106001539_208_d1,1
100100047,SER_20260912,100100047_106001547_21_d0,0
100100047,SER_20260912,100100047_106001547_21_d1,1
100100047,SER_20260912,100100047_106001561_143_d0,0
100100047,SER_20260912,100100047_106001561_143_d1,1
100100047,SER_20260912,100100047_106001561_244_d0,0
100100047,SER_20260912,100100047_106001562_20_d0,0
100100047,SER_20260912,100100047_106001562_20_d1,1
100100047,SER_20260912,100100047_106001563_19_d0,0
100100047,SER_20260912,100100047_106001563_19_d1,1
100100047,SER_20260912,100100047_106069555_26_d0,0
100100047,SER_20260912,100100047_106069555_26_d1,1
100100048,SER_20260912,100100048_106024022_201_d0,0
100100048,SER_20260912,100100048_106024022_201_d1,1
100100048,SER_20260912,100100048_106024022_38_d0,0
100100048,SER_20260912,100100048_106024022_38_d1,1
100100048,SER_20260912,100100048_106024023_35_d0,0
100100048,SER_20260912,100100048_106024023_35_d1,1
100100048,SER_20260912,100100048_106024068_206_d0,0
100100048,SER_20260912,100100048_106024068_206_d1,1
100100048,SER_20260912,100100048_106024068_34_d0,0
100100048,SER_20260912,100100048_106024068_34_d1,1
100100048,SER_20260912,100100048_106024074_150_d0,0
100100048,SER_20260912,100100048_106024074_150_d1,1
100100048,SER_20260912,100100048_106024074_221_d0,0
100100048,SER_20260912,100100048_106024074_221_d1,1
100100048,SER_20260912,100100048_106024074_247_d0,0
100100048,SER_20260912,100100048_106024076_202_d0,0
100100048,SER_20260912,100100048_106024076_202_d1,1
100100048,SER_20260912,100100048_106024076_37_d0,0
100100048,SER_20260912,100100048_106024076_37_d1,1
100100048,SER_20260912,100100048_106024084_48_d0,0
100100048,SER_20260912,100100048_106024084_48_d1,1
100100048,SER_20260912,100100048_106024086_43_d0,0
100100048,SER_20260912,100100048_106024086_43_d1,1
100100048,SER_20260912,100100048_106024091_36_d0,0
100100048,SER_20260912,100100048_106024091_36_d1,1
100100048,SER_20260912,100100048_106024093_54_d0,0
100100048,SER_20260912,100100048_106024093_54_d1,1
100100048,SER_20260912,100100048_106024095_156_d0,0
100100048,SER_20260912,100100048_106024095_156_d1,1
100100048,SER_20260912,100100048_106024103_39_d0,0
100100048,SER_20260912,100100048_106024103_39_d1,1
100100048,SER_20260912,100100048_106024113_46_d0,0
100100048,SER_20260912,100100048_106024113_46_d1,1
100100048,SER_20260912,100100048_106024120_47_d0,0
100100048,SER_20260912,100100048_106024120_47_d1,1
100100048,SER_20260912,100100048_106024122_231_d0,0
100100048,SER_20260912,100100048_106024122_231_d1,1
100100048,SER_20260912,100100048_106024122_53_d0,0
